,LotFrontage,LotArea,OverallQual,GrLivArea,TotalBsmtSF,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_SLvl,CentralAir_Y,Neighborhood_Edwards,Neighborhood_NAmes,Neighborhood_OldTown,Neighborhood_Somerst
0,-0.026062591443316217,-1.1894791392639692,-0.7946994283839349,-1.5410689477837105,-1.7614844488169632,False,False,False,False,False,False,False,True
1,-0.026062591443316217,-1.5834112582959545,1.1669171699738807,1.4517898770478785,-1.841171913850811,False,False,True,False,True,False,False,False
2,-0.026062591443316217,-1.2419327771713888,-1.5793460677270612,1.4459841373294855,0.9887048932048533,True,False,False,False,False,False,True,False
3,-0.026062591443316217,-0.8440268976918718,1.559240489645444,0.15614229655984174,0.009132152300969589,False,False,False,True,False,False,True,False
4,-0.026062591443316217,0.1181529653371604,-0.4023761087123718,1.3134197470928455,1.0664487615305585,False,True,False,True,False,False,False,False
5,-0.026062591443316217,1.4117444496903444,-0.010052789040808655,-1.011779010123549,-0.38153078603569834,False,False,True,True,True,False,False,False
6,-0.026062591443316217,-0.16133485280590926,-0.010052789040808655,1.1624705144146277,-1.5360272306724185,False,False,False,False,False,False,False,False
7,-0.026062591443316217,-0.8233633433647064,1.559240489645444,-1.197562681112125,-0.9490610248133453,True,False,False,False,False,True,False,False
8,-0.026062591443316217,-0.873432725003607,-0.4023761087123718,0.6834969876472056,-1.52242205371542,False,False,True,False,False,True,False,False
9,-0.026062591443316217,0.441087231039911,0.7745938503023175,-0.16801150438376716,-1.4096934446431477,False,False,True,False,False,False,False,True
10,-0.026062591443316217,-1.0456290110633182,-1.187022748055498,1.2940672813648688,0.199604629698947,False,False,False,True,True,False,False,False
11,-0.026062591443316217,-0.4707583329870517,1.559240489645444,-1.214979900267304,-1.1958978067474588,False,False,True,True,False,False,False,True
12,-0.026062591443316217,-1.080863020364767,-1.5793460677270612,0.19387960472939622,0.009132152300969589,False,True,False,False,False,False,True,False
13,-0.026062591443316217,1.600630529629689,0.7745938503023175,-1.0679011607346816,0.09076321404295991,False,True,False,True,False,True,False,False
14,-0.026062591443316217,-1.096758062154894,-0.7946994283839349,-1.2488467152912632,0.4056258807620654,False,False,False,False,True,False,False,False
15,-0.026062591443316217,-1.4112149722362435,1.1669171699738807,-0.7689055652374422,0.009132152300969589,False,False,False,False,False,False,False,True
16,-0.026062591443316217,0.007682424895776467,1.559240489645444,-0.3857267438235045,1.2258236915982539,False,False,False,False,False,False,False,True
17,-0.026062591443316217,1.0596692740390272,-0.7946994283839349,1.340513199112013,-0.06666811931659285,False,False,False,False,False,False,False,True
18,-0.026062591443316217,1.6578526800741469,0.38227053063075445,0.04680086519677367,0.009132152300969589,False,False,False,False,True,False,False,False
19,-0.026062591443316217,0.9269456750914652,0.7745938503023175,0.9079855900917346,0.009132152300969589,False,False,True,True,False,False,False,False
20,-0.026062591443316217,0.017219449969852776,0.38227053063075445,1.1634381377010266,0.19571743628266172,False,True,False,False,False,False,False,True
21,-0.026062591443316217,-1.1423238486199252,1.559240489645444,-0.5492550792249072,1.7389332225479073,False,False,False,True,False,False,False,True
22,-0.026062591443316217,0.5062569023794324,0.38227053063075445,0.17065664585582424,0.009132152300969589,False,False,True,True,False,True,False,False
23,-0.026062591443316217,-0.6479880489469698,0.7745938503023175,-0.2521947303004656,0.2443073539862274,False,False,False,False,True,False,False,False
